Name,V,Cr,Ti,W,Si,Fe,Al,Zr,Mo,C,N,O,H,at/wt,Hardness(VHN),Yield_Strength(MPa),UTS,DBTT(C),Grain Size (um),Reference,DBTT Reference,DBTT Author/notes,Yield Strength Reference ,Yield Strength Author,Notes,,
,91.9,4,4,0,0.1,0,0,0,,0,0,0,0,wt,0,0,,-50,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,95,0,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-200,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,94,1,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-200,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,93,2,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-200,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,92,3,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-200,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,91,4,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-200,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,90,5,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-200,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,87.084034,7.915966,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-86.9822,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,85.77311,9.22689,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-60.355,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,81.4706,13.5294,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-10.65089,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,80.4622,14.5378,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,-12.426,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
,81.269,13.731,5,0,0,0,0,0,,0,0,0,0,wt,0,0,,126.0355,,matsuiStatusVanadiumAlloys1996,"Status of vanadium alloys for fusion reactors H. Matsui, K. Fukumoto, D.L. Smith, Hee M. Chung, W. van Witzenburg, S.N. Votinov","DBTT values are just approximations, see reference",,,,,
NH1/HP,91.9928,4,4,0,0,0,0,0,,0,0,0.0072,0,wt,0,0,,-146.6,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,"Fig 6, conflicting information",,,,,
US/HP,91.9862,4,4,0,0,0,0,0,,0,0,0.0138,0,wt,0,0,,-91.15,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,"Fig 6, conflicting information",,,,,
NH1/NH1,91.9797,4,4,0,0,0,0,0,,0,0,0.0203,0,wt,0,0,,-86.15,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,"Fig 6, conflicting information",,,,,
US/US,91.9633,4,4,0,0,0,0,0,,0,0,0.0367,0,wt,0,0,,43.664,,nagasaka601VanadiumNuclear2020,6.01 Vanadium for Nuclear Systems,"Fig 6, conflicting information",,,,,
JGTA2,91.96920655,4,4,0,0,0,0,0,,0.007,0.0097,0.007193452,0.0069,wt,0,0,,-146.36,,"Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King","Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King",Averages taken where possible,,,,,
JGTA3,91.972857,4,4,0,0,0,0,0,,0.008,0,0.013243,0.0059,wt,0,0,,-91.01,,"Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King","Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King",Averages taken where possible,,,,,
JGTA1,91.95767401,4,4,0,0,0,0,0,,0.0067,0.01065,0.019625992,0.00535,wt,0,0,,-85.65,,"Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King","Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King",Averages taken where possible,,,,,
GTA23,91.9624411,4,4,0,0,0,0,0,,0,0,0.0332589,0.0043,wt,0,0,,44.707,,"Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King","Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King",Averages taken where possible,,,,,
BL 47/V-4Cr-4Ti,91.436,4.1,4.3,,0.087,,,,,0.02,0.022,0.035,,,,406.7,,-219,,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,PROPERTIES OF V-4CR-4TI FOR APPLICATION AS FUSION REACTOR STRUCTURAL COMPONENTS,,,,,
US832665,92.1742,3.8,3.9,,0.0783,,,,,0.008,0.0085,0.031,,,,,,,,"Comparison of Impact Property of Japanese and US Reference Heats of V-4CR-4TI After GasTungsten-ARC WELDING Takuya Nagasaka, Martin L. Grossbeck, Takeo Muroga & James F. King",,,,,,,
BL 54/V-5Cr-3Ti,91.765,5.1,3,0,0.0655,0,0,0,,0.0133,0.0082,0.048,0,wt,,,,-86,,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,,,,,,
BL 63,90.2149,4.6,5.1,0,0.031,0,0,0,,0.0073,0.0028,0.044,0,wt,,,,-111,,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,,,,,,
BL 44/V-10Cr-9Ti,71.7793,9.9,9.2,9,0.027,0.04,0,0,,0.015,0.0087,0.03,0,wt,,,,9,,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,Effects of neutron irradiation and hydrogen on ductile-brittle transition temperatures of V-Cr-Ti alloys,,,,,,
