nuclides,reactions,groups,xs
A_m246,"(n,gamma)",1,1.235
A_m246,"(n,4n)",1,0.0
A_m246,"(n,t)",1,0.0
A_m246,fission,1,0.0
A_m247,"(n,2n)",1,0.0
A_m247,"(n,d)",1,0.0
A_m247,"(n,a)",1,3.355e-10
A_m247,"(n,p)",1,0.0
A_m247,"(n,3n)",1,0.0
A_m247,"(n,gamma)",1,44.02
A_m247,"(n,4n)",1,0.0
A_m247,"(n,t)",1,0.0
A_m247,fission,1,0.0
A_m248,"(n,2n)",1,0.0
A_m248,"(n,d)",1,0.0
A_m248,"(n,a)",1,6.585e-06
A_m248,"(n,p)",1,0.0
A_m248,"(n,3n)",1,0.0
A_m248,"(n,gamma)",1,14.99
A_m248,"(n,4n)",1,0.0
A_m248,"(n,t)",1,0.0
A_m248,fission,1,0.0
A_m249,"(n,2n)",1,0.0
A_m249,"(n,d)",1,0.0
A_m249,"(n,a)",1,4.845e-06
A_m249,"(n,p)",1,0.0
A_m249,"(n,3n)",1,0.0
A_m249,"(n,gamma)",1,4.051
A_m249,"(n,4n)",1,0.0
A_m249,"(n,t)",1,0.0
A_m249,fission,1,0.0
Ac214,"(n,2n)",1,0.0
Ac214,"(n,d)",1,0.0
Ac214,"(n,a)",1,0.123
Ac214,"(n,p)",1,0.02785
Ac214,"(n,3n)",1,0.0
Ac214,"(n,gamma)",1,17.45
Ac214,"(n,4n)",1,0.0
Ac214,"(n,t)",1,0.0
Ac214,fission,1,0.0
Ac222,"(n,2n)",1,0.0
Ac222,"(n,d)",1,0.0
Ac222,"(n,a)",1,0.002218
Ac222,"(n,p)",1,1.194e-07
Ac222,"(n,3n)",1,0.0
Ac222,"(n,gamma)",1,128.8
Ac222,"(n,4n)",1,0.0
Ac222,"(n,t)",1,0.0
Ac222,fission,1,0.0
Ac223,"(n,2n)",1,0.0
Ac223,"(n,d)",1,0.0
Ac223,"(n,a)",1,0.02013
Ac223,"(n,p)",1,0.0
Ac223,"(n,3n)",1,0.0
Ac223,"(n,gamma)",1,81.05
Ac223,"(n,4n)",1,0.0
Ac223,"(n,t)",1,0.0
Ac223,fission,1,0.0
Ac224,"(n,2n)",1,0.0
Ac224,"(n,d)",1,0.0
Ac224,"(n,a)",1,0.254
Ac224,"(n,p)",1,1.478e-10
Ac224,"(n,3n)",1,0.0
Ac224,"(n,gamma)",1,20.78
Ac224,"(n,4n)",1,0.0
Ac224,"(n,t)",1,0.0
Ac224,fission,1,0.0
Ac225,"(n,2n)",1,0.0
Ac225,"(n,d)",1,0.0
Ac225,"(n,a)",1,9.789e-07
Ac225,"(n,p)",1,0.0
Ac225,"(n,3n)",1,0.0
Ac225,"(n,gamma)",1,3.864
Ac225,"(n,4n)",1,0.0
Ac225,"(n,t)",1,0.0
Ac225,fission,1,0.0
Ac226,"(n,2n)",1,0.0
Ac226,"(n,d)",1,0.0
Ac226,"(n,a)",1,6.725e-06
Ac226,"(n,p)",1,0.0
Ac226,"(n,3n)",1,0.0
Ac226,"(n,gamma)",1,102.1
Ac226,"(n,4n)",1,0.0
Ac226,"(n,t)",1,0.0
Ac226,fission,1,0.0
Ac227,"(n,2n)",1,0.0
Ac227,"(n,d)",1,0.0
Ac227,"(n,a)",1,9.232e-09
