Element,Dose_1s,Dose_1h,Dose_1d,Dose_14d,Dose_1y,Dose_5y,Dose_7y,Dose_100y
V,1.0811895057418288e-08,1.0814475965995271e-08,9.668613258235245e-09,9.521154828663113e-09,1.9496350485412934e-09,3.19618341859636e-11,0.0,1.8377028425845667e-12
Cr,7.034401147039581e-09,7.048231803936508e-09,1.0741886943193229e-09,1.0465023957324948e-09,1.0005632913959067e-09,7.649722578390313e-11,1.2387148806784526e-11,1.0861198856294352e-11
Ti,9.308863787042954e-09,9.311895916662661e-09,9.347086686005557e-09,9.346265900082864e-09,9.408234687735728e-09,9.598356305427784e-09,1.3089855225052894e-08,1.33562467797526e-08
W,2.3009116146835033e-09,2.3246894519183993e-09,2.6306893085851565e-09,2.407177398839627e-09,2.0538201788529815e-09,1.784199398160404e-09,5.476621199358261e-10,5.330947011685598e-10
Zr,6.010474805251391e-09,6.025209505946499e-09,6.0259637367875505e-09,6.0474324613763225e-09,7.379408396300655e-09,8.036768464268208e-09,7.080800130110568e-09,5.360292093904143e-09
