V,Cr,Ti,W,Zr,_neutronics_ok,_calphad_ok,slice_V,slice_Zr,phases
0.92,0.0,0.0,0.075,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9950950847957157, ""FCC_L12#1"": 0.0007017413354313112, ""HCP_A3#2"": 0.0017439191706879792, ""HCP_A3#3"": 0.0024592546981648503}"
0.92,0.0,0.005,0.07,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951067509890588, ""FCC_L12#1"": 0.0007013055514921286, ""HCP_A3#2"": 0.0024534048817539448, ""HCP_A3#3"": 0.0017385385776949884}"
0.92,0.0,0.01,0.065,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951185597767159, ""FCC_L12#1"": 0.0007008633428470046, ""HCP_A3#2"": 0.0024475691694573628, ""HCP_A3#3"": 0.0017330077109800836}"
0.92,0.0,0.015,0.06,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951305687087538, ""FCC_L12#1"": 0.000700415368434136, ""HCP_A3#2"": 0.0017272572083863464, ""HCP_A3#3"": 0.002441758714425413}"
0.92,0.0,0.02,0.055,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951428693711734, ""FCC_L12#1"": 0.0006999625799427131, ""HCP_A3#2"": 0.001721179350047925, ""HCP_A3#3"": 0.0024359886988360954}"
0.92,0.0,0.025,0.05,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951556054745441, ""FCC_L12#1"": 0.0006995063676298065, ""HCP_A3#2"": 0.0017146078998215842, ""HCP_A3#3"": 0.002430280258004705}"
0.92,0.0,0.03,0.045,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951690002456032, ""FCC_L12#1"": 0.0006990487763937413, ""HCP_A3#2"": 0.0017072877013991712, ""HCP_A3#3"": 0.0024246632766036}"
0.92,0.0,0.035,0.04,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951833974556683, ""FCC_L12#1"": 0.0006985928211596382, ""HCP_A3#2"": 0.0016988293332728624, ""HCP_A3#3"": 0.0024191803898992925}"
0.92,0.0,0.04,0.035,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9951993218307374, ""FCC_L12#1"": 0.0006981429367499057, ""HCP_A3#2"": 0.0024138925730857797, ""HCP_A3#3"": 0.0016886426594270934}"
0.92,0.0,0.045,0.03,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9952175656518591, ""FCC_L12#1"": 0.000697705596971195, ""HCP_A3#2"": 0.0024088866568355485, ""HCP_A3#3"": 0.0016758420943342844}"
0.92,0.0,0.05,0.025,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.995239307806709, ""FCC_L12#1"": 0.0006972901188297397, ""HCP_A3#2"": 0.002404284822093093, ""HCP_A3#3"": 0.0016591172523679663}"
0.92,0.0,0.055,0.02,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9952662668917538, ""FCC_L12#1"": 0.0006969096099032732, ""HCP_A3#2"": 0.00240025536165585, ""HCP_A3#3"": 0.0016365681366871368}"
0.92,0.0,0.06,0.015,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9953008774798594, ""FCC_L12#1"": 0.0006965818942653855, ""HCP_A3#2"": 0.0016055181460669372, ""HCP_A3#3"": 0.0023970224798083696}"
0.92,0.0,0.065,0.01,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9953464556471627, ""FCC_L12#1"": 0.0006963300587854068, ""HCP_A3#2"": 0.002394870648096052, ""HCP_A3#3"": 0.0015623436459558954}"
0.92,0.0,0.07,0.005,0.005,True,True,0.92,0.005,"{""BCC_B2#1"": 0.9954072911810552, ""FCC_L12#1"": 0.0006961820690281711, ""HCP_A3#2"": 0.002394137030795315, ""HCP_A3#3"": 0.0015023897191212532}"
