V,Cr,Ti,W,Zr,x_V,x_Cr,x_Ti,x_W,x_Zr,phase_count,dominant_phase,single_phase,phases,iter
0.956,0.01,0.016,0.009000000000000001,0.009000000000000001,0.956,0.01,0.016,0.009000000000000001,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9941915714437842, ""FCC_L12#1"": 0.0006490882886876719, ""HCP_A3#1"": 0.0021735736110042024, ""HCP_A3#2"": 0.0029857666565242147}",14
0.957,0.021,0.007,0.011,0.004,0.957,0.021,0.007,0.011,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9957792168750361, ""FCC_L12#1"": 0.0006256526502565568, ""HCP_A3#1"": 0.002341635105916785, ""HCP_A3#2"": 0.0009606798245872935, ""ZRO2_MONO#1"": 0.00029281554420331363}",14
0.98,0.005,0.005,0.006,0.004,0.98,0.005,0.005,0.006,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958045442844826, ""FCC_L12#1"": 0.0006174769606619418, ""HCP_A3#1"": 0.0010619331570527561, ""HCP_A3#2"": 0.0023106692290869382, ""ZRO2_MONO#1"": 0.00020537636871573699}",14
0.98,0.005,0.006,0.005,0.004,0.98,0.005,0.006,0.005,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958167390027581, ""FCC_L12#1"": 0.0006158498403602053, ""HCP_A3#1"": 0.0010648927347323962, ""HCP_A3#2"": 0.0023050438590215233, ""ZRO2_MONO#1"": 0.00019747456312814307}",14
0.966,0.004,0.019,0.004,0.007,0.966,0.004,0.019,0.004,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9947645737794569, ""FCC_L12#1"": 0.0006320941112791032, ""HCP_A3#1"": 0.0019266814511508196, ""HCP_A3#2"": 0.0026766506581130662}",14
0.953,0.009000000000000001,0.02,0.008,0.01,0.953,0.009000000000000001,0.02,0.008,0.01,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9938485751855342, ""C15_LAVES#1"": 0.00012315196764393034, ""FCC_L12#1"": 0.0006502684863601201, ""HCP_A3#1"": 0.002269608033456166, ""HCP_A3#2"": 0.0031083963270055297}",14
0.952,0.024,0.012,0.008,0.004,0.952,0.024,0.012,0.008,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958204592215291, ""FCC_L12#1"": 0.000620765459998939, ""HCP_A3#1"": 0.0023256024215427633, ""HCP_A3#2"": 0.0009429620315914211, ""ZRO2_MONO#1"": 0.00029021086533756246}",14
0.98,0.004,0.006,0.004,0.006,0.98,0.004,0.006,0.004,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949911377553006, ""FCC_L12#1"": 0.0006275419927802455, ""HCP_A3#1"": 0.0018288328994418403, ""HCP_A3#2"": 0.0025524873524773485}",14
0.95,0.012,0.023,0.007,0.008,0.95,0.012,0.023,0.007,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9944994742718074, ""FCC_L12#1"": 0.000641152545599976, ""HCP_A3#1"": 0.0020403865481123393, ""HCP_A3#2"": 0.002818986634480596}",14
0.957,0.004,0.015,0.006,0.018000000000000002,0.957,0.004,0.015,0.006,0.018000000000000002,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9728879494038914, ""C15_LAVES#1"": 0.020686681865763154, ""FCC_L12#1"": 0.0006541947023305962, ""HCP_A3#1"": 0.002447656973988425, ""HCP_A3#2"": 0.0033235170540262373}",14
