V,Cr,Ti,W,Zr,x_V,x_Cr,x_Ti,x_W,x_Zr,phase_count,dominant_phase,single_phase,phases,iter
0.957,0.012,0.008,0.005,0.018000000000000002,0.957,0.012,0.008,0.005,0.018000000000000002,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9685562801959481, ""C15_LAVES#1"": 0.02547615805284241, ""FCC_L12#1"": 0.0006493964889212997, ""HCP_A3#1"": 0.0030720743556408477, ""HCP_A3#2"": 0.002246090906647235}",24
0.863,0.015,0.043000000000000003,0.054,0.025,0.863,0.015,0.043000000000000003,0.054,0.025,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9449498783930447, ""C15_LAVES#1"": 0.04851534615644441, ""FCC_L12#1"": 0.000729629158675564, ""HCP_A3#1"": 0.0033643016420983915, ""HCP_A3#2"": 0.002440844649736963}",24
0.967,0.01,0.006,0.012,0.005,0.967,0.01,0.006,0.012,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9951734234198488, ""FCC_L12#1"": 0.0006326623582097509, ""HCP_A3#1"": 0.0017440921641283444, ""HCP_A3#2"": 0.002449822057813296}",24
0.968,0.007,0.008,0.011,0.006,0.968,0.007,0.008,0.011,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949013033491662, ""FCC_L12#1"": 0.0006385207281086052, ""HCP_A3#1"": 0.0018669417233381233, ""HCP_A3#2"": 0.002593234199387129}",24
0.975,0.005,0.01,0.005,0.005,0.975,0.005,0.01,0.005,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9952759348013751, ""FCC_L12#1"": 0.0006216592244236739, ""HCP_A3#1"": 0.0016884918897576645, ""HCP_A3#2"": 0.0024139140844438114}",24
0.952,0.014,0.006,0.021,0.007,0.952,0.014,0.006,0.021,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9945040478153007, ""FCC_L12#1"": 0.0006607761815077974, ""HCP_A3#1"": 0.002802077406812434, ""HCP_A3#2"": 0.002033098596379135}",24
0.975,0.005,0.007,0.004,0.009000000000000001,0.975,0.005,0.007,0.004,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9942302809785659, ""FCC_L12#1"": 0.0006416687024018294, ""HCP_A3#1"": 0.002965528647927623, ""HCP_A3#2"": 0.002162521671104653}",24
0.9390000000000001,0.02,0.024,0.013000000000000001,0.004,0.9390000000000001,0.02,0.024,0.013000000000000001,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.995805127026655, ""FCC_L12#1"": 0.0006282322575583848, ""HCP_A3#1"": 0.0008800979324020303, ""HCP_A3#2"": 0.002358545306986249, ""ZRO2_MONO#1"": 0.00032799747639805426}",24
0.95,0.006,0.006,0.022,0.016,0.95,0.006,0.006,0.022,0.016,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9755964403823972, ""C15_LAVES#1"": 0.01798532720351049, ""FCC_L12#1"": 0.0006782933745888931, ""HCP_A3#1"": 0.0033091914039789262, ""HCP_A3#2"": 0.0024307476355244803}",24
0.946,0.007,0.021,0.011,0.015,0.946,0.007,0.021,0.011,0.015,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9800910700780421, ""C15_LAVES#1"": 0.013644577119023938, ""FCC_L12#1"": 0.0006591183263716004, ""HCP_A3#1"": 0.003235753883010501, ""HCP_A3#2"": 0.002369480593551574}",24
0.824,0.126,0.03,0.014,0.006,0.824,0.126,0.03,0.014,0.006,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9873847033749715, ""C15_LAVES#1"": 0.008995660696131034, ""FCC_L12#1"": 0.0006241772889222083, ""HCP_A3#2"": 0.002251760075935028, ""ZRO2_MONO#1"": 0.0007436985640402683}",24
0.839,0.105,0.006,0.036000000000000004,0.014,0.839,0.105,0.006,0.036000000000000004,0.014,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9639056573601834, ""C15_LAVES#1"": 0.03220955219494101, ""FCC_L12#1"": 0.000666684032923159, ""HCP_A3#2"": 0.002427254882695685, ""ZRO2_MONO#1"": 0.0007908515292569456}",24
0.89,0.06,0.015,0.026000000000000002,0.009000000000000001,0.89,0.06,0.015,0.026000000000000002,0.009000000000000001,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9835520405900735, ""C15_LAVES#1"": 0.011404488739544591, ""FCC_L12#1"": 0.0006568779596792074, ""HCP_A3#1"": 0.002544217379623193, ""HCP_A3#2"": 0.001842375331079727}",24
0.969,0.006,0.008,0.009000000000000001,0.008,0.969,0.006,0.008,0.009000000000000001,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9944133091960076, ""FCC_L12#1"": 0.000645937663892948, ""HCP_A3#1"": 0.0020789609054427285, ""HCP_A3#2"": 0.002861792234656517}",24
0.953,0.008,0.005,0.019,0.015,0.953,0.008,0.005,0.019,0.015,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9777315656004509, ""C15_LAVES#1"": 0.016015325463908187, ""FCC_L12#1"": 0.0006719067627613955, ""HCP_A3#1"": 0.0032203270741189404, ""HCP_A3#2"": 0.002360875098760413}",24
0.969,0.007,0.006,0.007,0.011,0.969,0.007,0.006,0.007,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9910849048644916, ""C15_LAVES#1"": 0.0027954842199577274, ""FCC_L12#1"": 0.0006506831944355744, ""HCP_A3#1"": 0.00231431978707949, ""HCP_A3#2"": 0.0031546079340356143}",24
0.962,0.004,0.009000000000000001,0.004,0.021,0.962,0.004,0.009000000000000001,0.004,0.021,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9635717203997508, ""C15_LAVES#1"": 0.030016276762568385, ""FCC_L12#1"": 0.0006526948253992098, ""HCP_A3#2"": 0.003314631413516074, ""HCP_A3#3"": 0.002444676598765196}",24
0.948,0.004,0.012,0.025,0.011,0.948,0.004,0.012,0.025,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9917167638651719, ""C15_LAVES#1"": 0.0017469268694235674, ""FCC_L12#1"": 0.0006811871889294152, ""HCP_A3#1"": 0.0033747026928099685, ""HCP_A3#2"": 0.0024804193836654}",24
0.968,0.005,0.008,0.008,0.011,0.968,0.005,0.008,0.008,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9923091199714631, ""C15_LAVES#1"": 0.001428530506257902, ""FCC_L12#1"": 0.0006532410725031895, ""HCP_A3#1"": 0.0032324982306787702, ""HCP_A3#2"": 0.0023766102190972476}",24
0.97,0.007,0.008,0.006,0.009000000000000001,0.97,0.007,0.008,0.006,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9942047589714958, ""FCC_L12#1"": 0.0006448779889117494, ""HCP_A3#1"": 0.0021719361927935426, ""HCP_A3#2"": 0.0029784268467989115}",24
0.9369999999999999,0.008,0.028,0.021,0.006,0.9369999999999999,0.008,0.028,0.021,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9948041916674789, ""FCC_L12#1"": 0.0006528548269075331, ""HCP_A3#1"": 0.0019009733431905674, ""HCP_A3#2"": 0.0026419801624229565}",24
0.813,0.10200000000000001,0.053,0.027,0.005,0.813,0.10200000000000001,0.053,0.027,0.005,6,BCC_B2#1,False,"{""BCC_B2#1"": 0.9899021996375863, ""C15_LAVES#1"": 0.005916628282243384, ""FCC_L12#1"": 0.0006441427808860301, ""HCP_A3#1"": 0.002350472202573676, ""HCP_A3#2"": 0.0008209874615063101, ""ZRO2_MONO#1"": 0.0003655696352041645}",24
0.964,0.01,0.009000000000000001,0.012,0.005,0.964,0.01,0.009000000000000001,0.012,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9951775665110032, ""FCC_L12#1"": 0.0006324544982431148, ""HCP_A3#1"": 0.0017410274218140867, ""HCP_A3#2"": 0.0024489515689397456}",24
0.947,0.006,0.014,0.019,0.014,0.947,0.006,0.014,0.019,0.014,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9823249082980875, ""C15_LAVES#1"": 0.011295585774666387, ""FCC_L12#1"": 0.0006721059804284147, ""HCP_A3#1"": 0.003292378143654193, ""HCP_A3#2"": 0.0024150218031632883}",24
0.94,0.009000000000000001,0.036000000000000004,0.009000000000000001,0.006,0.94,0.009000000000000001,0.036000000000000004,0.009000000000000001,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949821809798127, ""FCC_L12#1"": 0.000632984545020717, ""HCP_A3#1"": 0.0018245291895104185, ""HCP_A3#2"": 0.0025603052856561065}",24
0.935,0.005,0.029,0.025,0.006,0.935,0.005,0.029,0.025,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.994750920430399, ""FCC_L12#1"": 0.0006592261522103992, ""HCP_A3#1"": 0.0019214844368387123, ""HCP_A3#2"": 0.0026683689805519412}",24
0.962,0.011,0.005,0.004,0.018000000000000002,0.962,0.011,0.005,0.004,0.018000000000000002,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9688644474016129, ""C15_LAVES#1"": 0.02514233161354893, ""FCC_L12#1"": 0.0006482882277731089, ""HCP_A3#1"": 0.0030858256041029785, ""HCP_A3#2"": 0.0022591071529623383}",24
0.953,0.004,0.013000000000000001,0.009000000000000001,0.021,0.953,0.004,0.013000000000000001,0.009000000000000001,0.021,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9634441472392661, ""C15_LAVES#1"": 0.03006816390716338, ""FCC_L12#1"": 0.0006607546948346361, ""HCP_A3#1"": 0.002472100442262534, ""HCP_A3#2"": 0.0033548337164731688}",24
0.849,0.074,0.023,0.033,0.021,0.849,0.074,0.023,0.033,0.021,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9469572305553885, ""C15_LAVES#1"": 0.04792834908659048, ""FCC_L12#1"": 0.0006716592582911157, ""HCP_A3#1"": 0.0025771112202289115, ""HCP_A3#2"": 0.0018656498795010723}",24
0.971,0.006,0.005,0.01,0.008,0.971,0.006,0.005,0.01,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9943888953825158, ""FCC_L12#1"": 0.0006478599259694798, ""HCP_A3#1"": 0.002089435420976536, ""HCP_A3#2"": 0.0028738092705382135}",24
0.944,0.014,0.013000000000000001,0.025,0.004,0.944,0.014,0.013000000000000001,0.025,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.995673925839197, ""FCC_L12#1"": 0.0006475755578085088, ""HCP_A3#1"": 0.0008915207847786785, ""HCP_A3#2"": 0.002425722031112357, ""ZRO2_MONO#1"": 0.00036125578710353247}",24
0.903,0.053,0.022,0.018000000000000002,0.004,0.903,0.053,0.022,0.018000000000000002,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958110428599593, ""FCC_L12#1"": 0.0006368176837995997, ""HCP_A3#1"": 0.0007406137370879647, ""HCP_A3#2"": 0.0023898326012117607, ""ZRO2_MONO#1"": 0.00042169311794149647}",24
0.968,0.007,0.005,0.015,0.005,0.968,0.007,0.005,0.015,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9951341682451427, ""FCC_L12#1"": 0.000637424568828989, ""HCP_A3#1"": 0.0017607904695023159, ""HCP_A3#2"": 0.00246761671652592}",24
0.959,0.014,0.007,0.004,0.016,0.959,0.014,0.007,0.004,0.016,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9736442324703937, ""C15_LAVES#1"": 0.02051139490271453, ""FCC_L12#1"": 0.000645752771219281, ""HCP_A3#1"": 0.0030050293285279, ""HCP_A3#2"": 0.0021935905271446756}",24
0.973,0.005,0.01,0.007,0.005,0.973,0.005,0.01,0.007,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.995247757124598, ""FCC_L12#1"": 0.0006247480596240152, ""HCP_A3#1"": 0.0017029539738439275, ""HCP_A3#2"": 0.002424540841934108}",24
0.949,0.01,0.017,0.018000000000000002,0.006,0.949,0.01,0.017,0.018000000000000002,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9948266108164077, ""FCC_L12#1"": 0.0006489253464681206, ""HCP_A3#1"": 0.0018952122832309507, ""HCP_A3#2"": 0.0026292515538930703}",24
0.965,0.006,0.006,0.016,0.007,0.965,0.006,0.006,0.016,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9945640821656099, ""FCC_L12#1"": 0.000652756127259221, ""HCP_A3#1"": 0.0020100894526122962, ""HCP_A3#2"": 0.002773072254518915}",24
0.941,0.012,0.022,0.021,0.004,0.941,0.012,0.022,0.021,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9957215062474367, ""FCC_L12#1"": 0.0006408696061295704, ""HCP_A3#1"": 0.0008846409534361101, ""HCP_A3#2"": 0.002404647869104958, ""ZRO2_MONO#1"": 0.00034833532389297604}",24
0.802,0.114,0.049,0.018000000000000002,0.017,0.802,0.114,0.049,0.018000000000000002,0.017,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9549888521540651, ""C15_LAVES#1"": 0.04127378154830894, ""FCC_L12#1"": 0.0006379070998629576, ""HCP_A3#2"": 0.0023448126103748352, ""ZRO2_MONO#1"": 0.0007546465873878039}",24
0.957,0.01,0.005,0.011,0.017,0.957,0.01,0.005,0.011,0.017,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9716249780062258, ""C15_LAVES#1"": 0.02227645052151541, ""FCC_L12#1"": 0.0006593433347695974, ""HCP_A3#1"": 0.003139729678853555, ""HCP_A3#2"": 0.002299498458635825}",24
0.829,0.006,0.017,0.11900000000000001,0.029,0.829,0.006,0.017,0.11900000000000001,0.029,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9317165931603077, ""C15_LAVES#1"": 0.06064672026333835, ""FCC_L12#1"": 0.0008410067859678501, ""HCP_A3#1"": 0.003927872988966133, ""HCP_A3#2"": 0.0028678068014196703}",24
0.97,0.012,0.007,0.005,0.006,0.97,0.012,0.007,0.005,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949830936829551, ""FCC_L12#1"": 0.0006289342248034941, ""HCP_A3#1"": 0.002553331240488892, ""HCP_A3#2"": 0.0018346408517523382}",24
0.803,0.019000000000000003,0.07800000000000001,0.09600000000000002,0.004000000000000001,0.803,0.019000000000000003,0.07800000000000001,0.09600000000000002,0.004000000000000001,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9952912058978926, ""FCC_L12#1"": 0.000758074291565554, ""HCP_A3#1"": 0.00033597372208736266, ""HCP_A3#2"": 0.002868232618729305, ""ZRO2_MONO#1"": 0.0007465134697252193}",24
0.873,0.019,0.047,0.054,0.007,0.873,0.019,0.047,0.054,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9941472933509979, ""FCC_L12#1"": 0.0007106913381631729, ""HCP_A3#1"": 0.002985952804455981, ""HCP_A3#2"": 0.0021560625063827914}",24
0.949,0.004,0.013000000000000001,0.026000000000000002,0.008,0.949,0.004,0.013000000000000001,0.026000000000000002,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9941646096626469, ""FCC_L12#1"": 0.0006735675189551732, ""HCP_A3#1"": 0.0029890258224306667, ""HCP_A3#2"": 0.0021727969959671944}",24
0.953,0.013000000000000001,0.008,0.018000000000000002,0.008,0.953,0.013000000000000001,0.008,0.018000000000000002,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9942872153450467, ""FCC_L12#1"": 0.0006606770295860772, ""HCP_A3#1"": 0.0021271617795810428, ""HCP_A3#2"": 0.0029249458457864964}",24
0.939,0.006,0.021,0.029,0.005,0.939,0.006,0.021,0.029,0.005,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949810793722221, ""FCC_L12#1"": 0.000658013666549172, ""HCP_A3#1"": 0.0018221489390035034, ""HCP_A3#2"": 0.0025387580222253625}",24
0.948,0.03,0.004,0.014,0.004,0.948,0.03,0.004,0.014,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9957593085055291, ""FCC_L12#1"": 0.0006306798797349098, ""HCP_A3#1"": 0.0009262864282705587, ""HCP_A3#2"": 0.002358901491984273, ""ZRO2_MONO#1"": 0.0003248236944811461}",24
0.95,0.011,0.017,0.005,0.017,0.95,0.011,0.017,0.005,0.017,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9724938407303819, ""C15_LAVES#1"": 0.021493847614003043, ""FCC_L12#1"": 0.0006489575342013045, ""HCP_A3#1"": 0.003099490439656057, ""HCP_A3#2"": 0.0022638636817574197}",24
0.975,0.01,0.004,0.007,0.004,0.975,0.01,0.004,0.007,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9957957970937321, ""FCC_L12#1"": 0.0006191967906477788, ""HCP_A3#1"": 0.0010379596150218303, ""HCP_A3#2"": 0.0023165490192505428, ""ZRO2_MONO#1"": 0.00023049748134778316}",24
0.972,0.006,0.005,0.009000000000000001,0.008,0.972,0.006,0.005,0.009000000000000001,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9944042730115747, ""FCC_L12#1"": 0.0006462099742568631, ""HCP_A3#1"": 0.0020834888214581386, ""HCP_A3#2"": 0.0028660281927104453}",24
0.949,0.021,0.012,0.012,0.006,0.949,0.021,0.012,0.012,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9949044333100344, ""FCC_L12#1"": 0.0006395796054173588, ""HCP_A3#1"": 0.0025887492609509653, ""HCP_A3#2"": 0.0018672378235970917}",24
0.946,0.005,0.021,0.02,0.008,0.946,0.005,0.021,0.02,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9942810588707206, ""FCC_L12#1"": 0.0006629300725054337, ""HCP_A3#1"": 0.002930358646870788, ""HCP_A3#2"": 0.0021256524099030174}",24
0.968,0.004,0.017,0.007,0.004,0.968,0.004,0.017,0.007,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958254694788246, ""FCC_L12#1"": 0.0006186293241226552, ""HCP_A3#1"": 0.0010157233520744235, ""HCP_A3#2"": 0.002319927314092352, ""ZRO2_MONO#1"": 0.00022025053088593614}",24
0.973,0.008,0.004,0.008,0.007,0.973,0.008,0.004,0.008,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9946750491755699, ""FCC_L12#1"": 0.0006398706425611596, ""HCP_A3#1"": 0.0027174327375038354, ""HCP_A3#2"": 0.001967647444365192}",24
0.96,0.004,0.012,0.004,0.02,0.96,0.004,0.012,0.004,0.02,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9668216520231658, ""C15_LAVES#1"": 0.02676544228875763, ""FCC_L12#1"": 0.000652087976812811, ""HCP_A3#2"": 0.003316348569874475, ""HCP_A3#3"": 0.002444469141389235}",24
0.968,0.007,0.004,0.013000000000000001,0.008,0.968,0.007,0.004,0.013000000000000001,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9943415380596488, ""FCC_L12#1"": 0.0006528848341375151, ""HCP_A3#1"": 0.002897579911797188, ""HCP_A3#2"": 0.0021079971944163787}",24
0.956,0.004,0.005,0.02,0.015,0.956,0.004,0.005,0.02,0.015,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.979747547898549, ""C15_LAVES#1"": 0.01374107434516336, ""FCC_L12#1"": 0.0006755065181919036, ""HCP_A3#1"": 0.003360632277485489, ""HCP_A3#2"": 0.002475238960610168}",24
0.8260000000000001,0.020000000000000004,0.07200000000000002,0.06300000000000001,0.019000000000000003,0.8260000000000001,0.020000000000000004,0.07200000000000002,0.06300000000000001,0.019000000000000003,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9608571911720543, ""C15_LAVES#1"": 0.03284074245027754, ""FCC_L12#1"": 0.000735229846888658, ""HCP_A3#1"": 0.0032358775964950884, ""HCP_A3#2"": 0.0023309589342843653}",24
0.952,0.007,0.02,0.007,0.014,0.952,0.007,0.02,0.007,0.014,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9833510528543463, ""C15_LAVES#1"": 0.010447530070791975, ""FCC_L12#1"": 0.0006520937810109267, ""HCP_A3#1"": 0.0032033307663684512, ""HCP_A3#2"": 0.0023459925274821364}",24
0.939,0.006,0.042,0.004,0.009000000000000001,0.939,0.006,0.042,0.004,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9943650099841087, ""FCC_L12#1"": 0.0006383940806870392, ""HCP_A3#2"": 0.0029008754766585566, ""HCP_A3#3"": 0.0020957204585458516}",24
0.969,0.006,0.004,0.011,0.01,0.969,0.006,0.004,0.011,0.01,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9938222051010367, ""FCC_L12#1"": 0.0006568739867341315, ""HCP_A3#2"": 0.00318379736303981, ""HCP_A3#3"": 0.002337123549189361}",24
0.81,0.018000000000000002,0.115,0.049,0.008,0.81,0.018000000000000002,0.115,0.049,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9941313416277021, ""FCC_L12#1"": 0.0007015580454275872, ""HCP_A3#1"": 0.0030131714090097382, ""HCP_A3#2"": 0.002153928917860506}",24
0.948,0.031,0.012,0.005,0.004,0.948,0.031,0.012,0.005,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.995853989787092, ""FCC_L12#1"": 0.000616121587515403, ""HCP_A3#1"": 0.0023082990126473708, ""HCP_A3#2"": 0.000930382902920338, ""ZRO2_MONO#1"": 0.0002912067098249139}",24
0.948,0.007,0.021,0.012,0.012,0.948,0.007,0.021,0.012,0.012,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9888166245847358, ""C15_LAVES#1"": 0.004958157233853666, ""FCC_L12#1"": 0.0006589351654256745, ""HCP_A3#1"": 0.0032141827500311256, ""HCP_A3#2"": 0.0023521002659536916}",24
0.953,0.015,0.006,0.019,0.007,0.953,0.015,0.006,0.019,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9945330412297059, ""FCC_L12#1"": 0.0006575062926257862, ""HCP_A3#1"": 0.0020220755238189968, ""HCP_A3#2"": 0.002787376953849318}",24
0.948,0.014,0.02,0.014,0.004,0.948,0.014,0.02,0.014,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.995777960129782, ""FCC_L12#1"": 0.0006298486974593849, ""HCP_A3#1"": 0.0009188583589560864, ""HCP_A3#2"": 0.00236282786758374, ""ZRO2_MONO#1"": 0.00031050494621893515}",24
0.95,0.023,0.012,0.005,0.01,0.95,0.023,0.012,0.005,0.01,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9881772588634857, ""C15_LAVES#1"": 0.0063500667117507, ""FCC_L12#1"": 0.0006393403071706269, ""HCP_A3#1"": 0.0028012068012009976, ""HCP_A3#2"": 0.0020321273163920023}",24
0.952,0.01,0.01,0.013000000000000001,0.015,0.952,0.01,0.01,0.013000000000000001,0.015,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9776253870410274, ""C15_LAVES#1"": 0.01627621774275534, ""FCC_L12#1"": 0.0006611937723758172, ""HCP_A3#1"": 0.002296914616760457, ""HCP_A3#2"": 0.0031402868270811826}",24
0.977,0.005,0.007,0.007,0.004,0.977,0.005,0.007,0.007,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9958000024443009, ""FCC_L12#1"": 0.0006189985789701002, ""HCP_A3#1"": 0.0010483321530831285, ""HCP_A3#2"": 0.002317144264146541, ""ZRO2_MONO#1"": 0.0002155225594995171}",24
0.846,0.083,0.043000000000000003,0.024,0.004,0.846,0.083,0.043000000000000003,0.024,0.004,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9947361877077325, ""C15_LAVES#1"": 0.0014640800674019976, ""FCC_L12#1"": 0.0006442398619643039, ""HCP_A3#2"": 0.002397632009802658, ""ZRO2_MONO#1"": 0.0007578603530983423}",24
0.964,0.004,0.012,0.016,0.004,0.964,0.004,0.012,0.016,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9957302351069423, ""FCC_L12#1"": 0.0006331242909968828, ""HCP_A3#1"": 0.00098107757673893, ""HCP_A3#2"": 0.002371681410169856, ""ZRO2_MONO#1"": 0.00028388161515249257}",24
0.957,0.011,0.008,0.007,0.017,0.957,0.011,0.008,0.007,0.017,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9717261512917239, ""C15_LAVES#1"": 0.02225744332121995, ""FCC_L12#1"": 0.0006524132874691862, ""HCP_A3#1"": 0.003097851769661454, ""HCP_A3#2"": 0.0022661403299254136}",24
0.969,0.005,0.008,0.009000000000000001,0.009000000000000001,0.969,0.005,0.008,0.009000000000000001,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9941503035844447, ""FCC_L12#1"": 0.0006499020166277045, ""HCP_A3#1"": 0.0030065591458277806, ""HCP_A3#2"": 0.0021932352530998865}",24
0.975,0.005,0.004,0.007,0.009000000000000001,0.975,0.005,0.004,0.007,0.009000000000000001,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9941685193125782, ""FCC_L12#1"": 0.0006469358683126398, ""HCP_A3#2"": 0.002996711958880778, ""HCP_A3#3"": 0.0021878328602283033}",24
0.954,0.017,0.008,0.004,0.017,0.954,0.017,0.008,0.004,0.017,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9697061344703946, ""C15_LAVES#1"": 0.024538304995998933, ""FCC_L12#1"": 0.0006451232367226742, ""HCP_A3#2"": 0.0029562126818804576, ""HCP_A3#3"": 0.0021542246150032794}",24
0.817,0.037,0.116,0.009000000000000001,0.021,0.817,0.037,0.116,0.009000000000000001,0.021,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9566479872850123, ""C15_LAVES#1"": 0.03798736765452875, ""FCC_L12#1"": 0.000643119596752102, ""HCP_A3#1"": 0.0027636986924351637, ""HCP_A3#2"": 0.0019578267712718218}",24
0.98,0.004,0.005,0.007,0.004,0.98,0.004,0.005,0.007,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.9957945425735198, ""FCC_L12#1"": 0.000619049973798469, ""HCP_A3#1"": 0.001059854436001973, ""HCP_A3#2"": 0.002316525402598131, ""ZRO2_MONO#1"": 0.00021002761408143512}",24
0.974,0.005,0.007,0.009000000000000001,0.005,0.974,0.005,0.007,0.009000000000000001,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9952155340106372, ""FCC_L12#1"": 0.0006280425315278392, ""HCP_A3#1"": 0.0017204002670853512, ""HCP_A3#2"": 0.002436023190749788}",24
0.861,0.012,0.046,0.056,0.025,0.861,0.012,0.046,0.056,0.025,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9461126653383735, ""C15_LAVES#1"": 0.04718315233469058, ""FCC_L12#1"": 0.0007343720177665547, ""HCP_A3#1"": 0.0034581971479033186, ""HCP_A3#2"": 0.002511613161266296}",24
0.812,0.077,0.091,0.016,0.004,0.812,0.077,0.091,0.016,0.004,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.994051333356641, ""C15_LAVES#1"": 0.001361829973476986, ""FCC_L12#1"": 0.000630231758970323, ""HCP_A3#1"": 0.0015774439035361031, ""HCP_A3#2"": 0.0023791610073751693}",24
0.951,0.007,0.015,0.007,0.02,0.951,0.007,0.015,0.007,0.02,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9652017388325033, ""C15_LAVES#1"": 0.02852173492489616, ""FCC_L12#1"": 0.0006556931518083931, ""HCP_A3#1"": 0.0023789416188593846, ""HCP_A3#2"": 0.0032418914719328585}",24
0.942,0.01,0.014,0.028,0.006,0.942,0.01,0.014,0.028,0.006,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9946932077714559, ""FCC_L12#1"": 0.0006651462418795637, ""HCP_A3#1"": 0.0019479820681670788, ""HCP_A3#2"": 0.002693663918497574}",24
